0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4/2026,1/6/2026,1/8/2026,1/11/2026,1/14/2026,1/15/2026,1/18/2026,1/20/2026,1/22/2026,1/27/2026,1/29/2026,2/1/2016,2/3/2026,2/5/2026,2/7/2026,2/10/2026,2/12/2026,2/15/2026,2/17/2026,2/19/2026,2/22/2026,24-Feb,2/26/2026,3/1/2026,3/3/2026,3/5/2026,3/8/2026,3/10/2026,3/12/2026,3/15/2026,3/17/2026,3/19/2026,3/22/2026,3/24/2026,3/26/2026,3/29/2026,3/31/2026,4/2/2026,4/5/2026,4/7/2026,4/9/2026,4/12/2026,4/14/2026,4/16/2026,4/19/2026,4/21/2026,4/23/2026
Product #,Product Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",5,1,1,1,2,1.4,1,1,2,1,2,1,0.5,3,1,2,1,1,1,3,2,1,2,1,2.5,1,3,2,2,2,2,3,2,1.5,3,1,3,2,2,1,3,2,1,2,2,2,3
5314208,"BEEF, CUTLET SELECT RAW FROZEN",3,3,5,2,3,4,2,2,4,1,3,2,3,4,5,4,2,2,4,4,3,4,5,3,4,5,2,5,3,1,4,6,3,1,6,4,3,5,3,3,5,3,2,4,4,5,4
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",1,6,4,3,3,1,6,3,2,1,6,4,4,0,0,5,1,0,5,4,3,0,4,5,6,2,1,,,2,5,5,2,1,5,3,1,5,,5,3,,20,16,12,10,10
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",2,2,1,2,1,2,1,2,3,3,2.5,3,1,3,1,3,1,2,1,2,2,1,4,1,1,3,2,2,2,1,2,2,2,1,2,1,2.5,3.5,3,1,2.5,2,,2,3,2,3
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",5,-,3,0,0,10,0,11,0,0,11,0,0,0,0,11,11,0,13,0,0,0,,,6,,,4,7,0,8,8,0,,,0,4,0,4,2,2,,,3,0,12,4
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",0.2,4,3,2,1,4,3,3,3,2,1.5,4,3,4,2,0.4,0,3,3,2,1,5,3,6,2.6,4,1.4,1.6,3.6,0.6,2,25,1,3.2,13,1.4,3.8,2.2,2.6,1.6,2.6,1.5,1.6,4,2,1.4,4
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",0,2,2,2,2,2,1,2,4,1,2,2,3,2,4,4,2,2,2,0,0,5,4,3,3,3,3,3,1,5,4,2,2,2,6,3,3,2,4,2,4,3,1,5,4,4,3
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",0.4,0,2,1,2,1.2,1,3,0.6,1.6,0.2,6,0.4,3,3,2,2,0.4,3,0,1,2,2,,2.4,1,3,2.2,2,0.4,2,15,2,2,20,2,2.6,2.6,0.6,1.6,2.6,1,3.2,3,2,1,4.4
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",9,2,9,5,7,7,3,6,8,9,6,6,4,10,9,8,6,6,3,6,5,3,5,4,5,5,8,4,6,6,5,5,8,6,7,5,4,7,5,4,7,7,2,8,10,2,12
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",3,3,5,2,5,5,1,5,6,0,5,2,4,5,4,6,4,3,3,5,3,4,3,4,3,4,4,2,4,5,1,6,1,3,6,1,4,4,3,3,6,3,2,5,5,3,4
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",1,1,3,2,0,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,0,2,,2,2,,1,2,0,3,0,5,2,2,0,1,1,2,1,2,,1,2,2,0,2
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",3,2,2,2,1,1,1,1,0,2,2,1.5,1,1,0,2,2,1,1,0,0.5,2,1,1,1,1,1,0,3,2,2,0,1,,2,2,1,1,1,0,2,1,1,1,1,0,2
1633130,"BACON,SLAB #2 CURED",0,3,0,3,3,2,1,1,2,0,3,1.5,0.5,3,3,2,1,1,2.5,1.5,0,1,2.5,2.25,1,3,2,1.5,0,1,0,2,1.5,,3,2,0.5,4,3,2.5,3,1,1,3.5,2,0,3
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",2,2,3,0,4,2,3,2,3,1,2,1,4,2,1,4,3,3,1,4,2,3,1,4,3,2,2,3,1,3,2,3,0,3,3,2,3,2,1,4,4,3,2,2,2,3,2
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",0,96,98,48,96,96,96,48,96,48,48,98,0,48,48,0,96,48,96,0,96,96,96,48,96,1,93,36,,48,48,96,24,48,48,48,0,96,48,96,48,2,48,48,48,48,48
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",0.5,0.5,1,1,1,0.5,0,1,1,0,0,1,1,0,1,0.5,1,1,1,0,1.5,0,0.5,,1,1,,1,1,0,0.5,1,1,1,1,1,0,1,1,0,1,1,0,1,0.5,1,0
766949,"ICE CREAM, CHOCOLATE TUB",2.5,3,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0.5,,1,2,3,2.25,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",5,0,12,10,12,10,6,12,12,12,4,0,6,6,12,12,21,12,9,8,10,10,10,5,5,,11,10,10,6,7,11,10,8,14,11,11,8,9,6,7,,,13,12,12,11
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",3,2,1,0,2,2,2,2,2,1,2,0,2,2,2,1,0,2,2,2,0,0,2,2,2,1,14,1,2,1,2,2,1,1,1,1,0,2,1,0,0,2,2,2,6,1,1
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",6,2,1,0,2,2,1,1,0,2,2,2,2,0,1,2,0,2,2,2,1,0,2,2,2,2,24,36,2,1,2,2,1,1,1,1,0,0,0,0,2,2,,0,,0,0
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",54,5,27,0,36,36,36,27,27,45,36,18,27,9,36,18,0,54,45,99,18,0,36,,36,27,36,1,36,27,18,36,18,45,36,1,36,27,36,18,27,1,18,18,9,45,36
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",2,2,1,1,1,1,0,0,0,2,1,1,2,1,1,1,0,3,3,3,3,3,3,2,,,2,1,1,0,1,1,0,,1,0,,1,3,2,1,3,1,1.5,,3,4
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",5,3,3,1,4,5,5,4,4,2,6,4,3,1,4,4,4,0,6,5,3,0,6,5,,,,16,6,5,4,24,2,6,5,5,1,7,4,3,3,1,6,4,3,2.5,6
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",9,0,0,3,16,12,12,12,12,9,12,18,12,18,12,12,12,12,12,8,7,12,10,,,,16,16,24,16,24,24,24,16,24,23,18,18,21,18,16,21,16,20,24,18,16
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",13,0,0,0,16,12,17,12,12,6,12,18,12,12,12,12,6,12,10,8,3,0,24,18,,,12,2,,16,24,16,12,12,12,12,5,6,2,8,16,10,16,7,7,4,2
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",4,3,3,0,0,8,6,5,4,2,1,0,18,17,6,16,15,12,13,11,9,7,6,16,,,1,8,2,0,10,10,10,5,5,4,10,1,10,10,8,5,3,3,2,0,9
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",8,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,21,14,14,14,13,13,,,12,8,8,10,9,11,10,7,7,10,7,8,10,7,7,9,7,9,9,6,6
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",2,1,1,0,12,12,11,11,11,10,9,9,9,9,8,8,8,6,6,6,6,5,5,4,,,4,2,2,1,1,0,12,12,10,11,8,12,9,9,9,9,8,9,8,7,7
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",5,3,13,12,11,9,5,0,12,8,6,1,10,0,12,16,15,11,8,6,4,0,10,6,,,,11,7,2,10,10,3,,,18,15,19,8,11,11,7,6,5,2,14,9
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",17,19,15,20,15,12,9,8,8,8,2,24,26,22,2,48,40,48,40,48,40,40,36,30,,,46,40,40,40,20,20,14,14,14,15,9,7,8,8,7,10,9,8,5,4,3
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",2,0,0,-,1,0,-,0,-,0,0,0,0,0,0,0,-,0,-,2,0.5,0,,12,,,10,7,7,0,0,24,24,4,6,4,4,4,4,4,1,,2,0,,0,0
